blocksize_bits,blocksize_kB,smallprime_faster,mediumstep_faster,vectorstep_faster,passes,elapsed_time,sample_duration,average
262144,32,500,48,0,4,0.000454,0.000400,8810.572687
131072,16,0,48,0,4,0.000467,0.000400,8565.310493
131072,16,500,48,0,4,0.000444,0.000400,9009.009009
1048576,128,0,48,32,4,0.000441,0.000400,9070.294785
1048576,128,500,48,32,4,0.000450,0.000400,8888.888889
524288,64,0,48,32,4,0.000453,0.000400,8830.022075
524288,64,500,48,32,4,0.000437,0.000400,9153.318078
262144,32,0,48,32,5,0.000495,0.000400,10101.010101
262144,32,500,48,32,4,0.000440,0.000400,9090.909091
131072,16,0,48,32,4,0.000486,0.000400,8230.452675
131072,16,500,48,32,4,0.000445,0.000400,8988.764045
1048576,128,0,48,64,4,0.000423,0.000400,9456.264775
1048576,128,500,48,64,4,0.000467,0.000400,8565.310493
524288,64,0,48,64,4,0.000424,0.000400,9433.962264
524288,64,500,48,64,4,0.000421,0.000400,9501.187648
262144,32,0,48,64,5,0.000474,0.000400,10548.523207
262144,32,500,48,64,4,0.000442,0.000400,9049.773756
131072,16,0,48,64,4,0.000452,0.000400,8849.557522
131072,16,500,48,64,4,0.000425,0.000400,9411.764706
1048576,128,0,48,96,5,0.000486,0.000400,10288.065844
1048576,128,500,48,96,5,0.000496,0.000400,10080.645161
524288,64,0,48,96,5,0.000480,0.000400,10416.666667
524288,64,500,48,96,5,0.000492,0.000400,10162.601626
262144,32,0,48,96,5,0.000454,0.000400,11013.215859
262144,32,500,48,96,4,0.000403,0.000400,9925.558313
131072,16,0,48,96,4,0.000451,0.000400,8869.179601
131072,16,500,48,96,4,0.000401,0.000400,9975.062344
1048576,128,0,48,128,5,0.000466,0.000400,10729.613734
1048576,128,500,48,128,5,0.000462,0.000400,10822.510823
524288,64,0,48,128,5,0.000474,0.000400,10548.523207
524288,64,500,48,128,5,0.000459,0.000400,10893.246187
262144,32,0,48,128,5,0.000457,0.000400,10940.919037
262144,32,500,48,128,5,0.000489,0.000400,10224.948875
131072,16,0,48,128,4,0.000490,0.000400,8163.265306
131072,16,500,48,128,5,0.000474,0.000400,10548.523207
1048576,128,0,48,160,5,0.000462,0.000400,10822.510823
1048576,128,500,48,160,5,0.000458,0.000400,10917.030568
524288,64,0,48,160,5,0.000471,0.000400,10615.711253
524288,64,500,48,160,5,0.000453,0.000400,11037.527594
262144,32,0,48,160,5,0.000474,0.000400,10548.523207
262144,32,500,48,160,5,0.000465,0.000400,10752.688172
131072,16,0,48,160,4,0.000527,0.000400,7590.132827
131072,16,500,48,160,5,0.000485,0.000400,10309.278351
1048576,128,0,48,192,5,0.000462,0.000400,10822.510823
1048576,128,500,48,192,5,0.000457,0.000400,10940.919037
524288,64,0,48,192,5,0.000500,0.000400,10000.000000
524288,64,500,48,192,5,0.000474,0.000400,10548.523207
262144,32,0,48,192,4,0.000415,0.000400,9638.554217
262144,32,500,48,192,5,0.000477,0.000400,10482.180294
131072,16,0,48,192,3,0.000451,0.000400,6651.884701
131072,16,500,48,192,5,0.000474,0.000400,10548.523207
1048576,128,0,48,224,5,0.000477,0.000400,10482.180294
1048576,128,500,48,224,5,0.000461,0.000400,10845.986985
524288,64,0,48,224,5,0.000474,0.000400,10548.523207
524288,64,500,48,224,5,0.000460,0.000400,10869.565217
262144,32,0,48,224,4,0.000430,0.000400,9302.325581
262144,32,500,48,224,4,0.000401,0.000400,9975.062344
131072,16,0,48,224,3,0.000472,0.000400,6355.932203
131072,16,500,48,224,5,0.000491,0.000400,10183.299389
1048576,128,0,48,256,5,0.000481,0.000400,10395.010395
1048576,128,500,48,256,5,0.000472,0.000400,10593.220339
524288,64,0,48,256,5,0.000471,0.000400,10615.711253
524288,64,500,48,256,5,0.000489,0.000400,10224.948875
262144,32,0,48,256,4,0.000466,0.000400,8583.690987
262144,32,500,48,256,5,0.000496,0.000400,10080.645161
131072,16,0,48,256,3,0.000535,0.000400,5607.476636
131072,16,500,48,256,4,0.000413,0.000400,9685.230024
1048576,128,0,64,0,4,0.000441,0.000400,9070.294785
1048576,128,500,64,0,4,0.000437,0.000400,9153.318078
524288,64,0,64,0,4,0.000449,0.000400,8908.685969
524288,64,500,64,0,4,0.000440,0.000400,9090.909091
262144,32,0,64,0,4,0.000412,0.000400,9708.737864
262144,32,500,64,0,4,0.000444,0.000400,9009.009009
131072,16,0,64,0,4,0.000468,0.000400,8547.008547
131072,16,500,64,0,4,0.000445,0.000400,8988.764045
1048576,128,0,64,32,4,0.000455,0.000400,8791.208791
1048576,128,500,64,32,4,0.000440,0.000400,9090.909091
524288,64,0,64,32,4,0.000439,0.000400,9111.617312
524288,64,500,64,32,4,0.000437,0.000400,9153.318078
262144,32,0,64,32,4,0.000411,0.000400,9732.360097
262144,32,500,64,32,4,0.000489,0.000400,8179.959100
131072,16,0,64,32,4,0.000470,0.000400,8510.638298
131072,16,500,64,32,4,0.000442,0.000400,9049.773756
1048576,128,0,64,64,4,0.000439,0.000400,9111.617312
1048576,128,500,64,64,4,0.000456,0.000400,8771.929825
524288,64,0,64,64,4,0.000439,0.000400,9111.617312
524288,64,500,64,64,4,0.000439,0.000400,9111.617312
262144,32,0,64,64,5,0.000496,0.000400,10080.645161
262144,32,500,64,64,4,0.000454,0.000400,8810.572687
131072,16,0,64,64,4,0.000466,0.000400,8583.690987
131072,16,500,64,64,4,0.000439,0.000400,9111.617312
1048576,128,0,64,96,4,0.000418,0.000400,9569.377990
1048576,128,500,64,96,4,0.000411,0.000400,9732.360097
524288,64,0,64,96,4,0.000420,0.000400,9523.809524
524288,64,500,64,96,4,0.000413,0.000400,9685.230024
262144,32,0,64,96,5,0.000477,0.000400,10482.180294
262144,32,500,64,96,4,0.000406,0.000400,9852.216749
131072,16,0,64,96,4,0.000468,0.000400,8547.008547
131072,16,500,64,96,4,0.000422,0.000400,9478.672986
1048576,128,0,64,128,5,0.000487,0.000400,10266.940452
1048576,128,500,64,128,5,0.000484,0.000400,10330.578512
524288,64,0,64,128,5,0.000482,0.000400,10373.443983
524288,64,500,64,128,5,0.000495,0.000400,10101.010101
262144,32,0,64,128,5,0.000488,0.000400,10245.901639
262144,32,500,64,128,5,0.000497,0.000400,10060.362173
131072,16,0,64,128,4,0.000495,0.000400,8080.808081
131072,16,500,64,128,4,0.000411,0.000400,9732.360097
1048576,128,0,64,160,5,0.000481,0.000400,10395.010395
1048576,128,500,64,160,5,0.000477,0.000400,10482.180294
524288,64,0,64,160,5,0.000475,0.000400,10526.315789
524288,64,500,64,160,5,0.000489,0.000400,10224.948875
262144,32,0,64,160,5,0.000496,0.000400,10080.645161
262144,32,500,64,160,5,0.000492,0.000400,10162.601626
131072,16,0,64,160,3,0.000423,0.000400,7092.198582
131072,16,500,64,160,4,0.000481,0.000400,8316.008316
1048576,128,0,64,192,4,0.000427,0.000400,9367.681499
1048576,128,500,64,192,5,0.000498,0.000400,10040.160643
524288,64,0,64,192,5,0.000492,0.000400,10162.601626
524288,64,500,64,192,5,0.000490,0.000400,10204.081633
262144,32,0,64,192,4,0.000444,0.000400,9009.009009
262144,32,500,64,192,4,0.000432,0.000400,9259.259259
131072,16,0,64,192,3,0.000446,0.000400,6726.457399
131072,16,500,64,192,4,0.000401,0.000400,9975.062344
1048576,128,0,64,224,4,0.000408,0.000400,9803.921569
1048576,128,500,64,224,4,0.000402,0.000400,9950.248756
524288,64,0,64,224,5,0.000482,0.000400,10373.443983
524288,64,500,64,224,5,0.000486,0.000400,10288.065844
262144,32,0,64,224,4,0.000447,0.000400,8948.545861
262144,32,500,64,224,4,0.000417,0.000400,9592.326139
131072,16,0,64,224,3,0.000481,0.000400,6237.006237
131072,16,500,64,224,4,0.000404,0.000400,9900.990099
1048576,128,0,64,256,4,0.000413,0.000400,9685.230024
1048576,128,500,64,256,4,0.000415,0.000400,9638.554217
524288,64,0,64,256,4,0.000412,0.000400,9708.737864
524288,64,500,64,256,5,0.000497,0.000400,10060.362173
262144,32,0,64,256,4,0.000491,0.000400,8146.639511
262144,32,500,64,256,4,0.000425,0.000400,9411.764706
131072,16,0,64,256,3,0.000550,0.000400,5454.545455
131072,16,500,64,256,4,0.000416,0.000400,9615.384615
1048576,128,16,0,0,3,0.000402,0.000400,7462.686567
1048576,128,484,0,0,4,0.000533,0.000400,7504.690432
524288,64,16,0,0,4,0.000545,0.000400,7339.449541
524288,64,484,0,0,4,0.000528,0.000400,7575.757576
262144,32,16,0,0,4,0.000490,0.000400,8163.265306
262144,32,484,0,0,4,0.000529,0.000400,7561.436673
131072,16,16,0,0,3,0.000413,0.000400,7263.922518
131072,16,484,0,0,3,0.000411,0.000400,7299.270073
1048576,128,16,0,32,4,0.000421,0.000400,9501.187648
1048576,128,484,0,32,4,0.000436,0.000400,9174.311927
524288,64,16,0,32,4,0.000421,0.000400,9501.187648
524288,64,484,0,32,4,0.000444,0.000400,9009.009009
262144,32,16,0,32,5,0.000475,0.000400,10526.315789
262144,32,484,0,32,4,0.000426,0.000400,9389.671362
131072,16,16,0,32,4,0.000442,0.000400,9049.773756
131072,16,484,0,32,4,0.000429,0.000400,9324.009324
1048576,128,16,0,64,5,0.000467,0.000400,10706.638116
1048576,128,484,0,64,5,0.000463,0.000400,10799.136069
524288,64,16,0,64,5,0.000451,0.000400,11086.474501
524288,64,484,0,64,5,0.000447,0.000400,11185.682327
262144,32,16,0,64,5,0.000416,0.000400,12019.230769
262144,32,484,0,64,5,0.000452,0.000400,11061.946903
131072,16,16,0,64,5,0.000486,0.000400,10288.065844
131072,16,484,0,64,5,0.000453,0.000400,11037.527594
1048576,128,16,0,96,5,0.000428,0.000400,11682.242991
1048576,128,484,0,96,5,0.000416,0.000400,12019.230769
524288,64,16,0,96,5,0.000401,0.000400,12468.827930
524288,64,484,0,96,6,0.000480,0.000400,12500.000000
262144,32,16,0,96,6,0.000455,0.000400,13186.813187
262144,32,484,0,96,5,0.000419,0.000400,11933.174224
131072,16,16,0,96,5,0.000483,0.000400,10351.966874
131072,16,484,0,96,5,0.000410,0.000400,12195.121951
1048576,128,16,0,128,6,0.000470,0.000400,12765.957447
1048576,128,484,0,128,6,0.000466,0.000400,12875.536481
524288,64,16,0,128,6,0.000472,0.000400,12711.864407
524288,64,484,0,128,6,0.000459,0.000400,13071.895425
262144,32,16,0,128,6,0.000453,0.000400,13245.033113
262144,32,484,0,128,6,0.000474,0.000400,12658.227848
131072,16,16,0,128,4,0.000436,0.000400,9174.311927
131072,16,484,0,128,5,0.000402,0.000400,12437.810945
